SgID,ZhangScore
862,0.665858
936,0.687814
2004,0.422532
5017,0.343302
5029,0.288933
5030,0.502996
6086,0.26483
6436,0.754635
6507,0.67925
6515,0.417887
6530,0.926584
6555,0.300889
9742,0.694705
9759,0.586272
12427,0.61353
12436,0.429722
12437,0.205143
12538,0.681423
12543,0.20719
12548,0.113347
12554,0.589632
12574,0.534344
12578,0.524342
13865,0.367409
13869,0.611279
13874,0.412279
13875,0.401331
13876,0.513925
13877,0.530515
13882,0.283403
13883,0.586745
13884,0.672507
13885,0.63816
13886,0.63075
13887,0.559634
13889,0.653544
13891,0.513915
13892,0.628526
13897,0.606097
13898,0.669137
13899,0.591064
13900,0.550216
13901,0.502895
13902,0.519734
13903,0.433297
13904,0.436897
13905,0.427684
13906,0.541214
13907,0.427745
13908,0.331476
13909,0.301628
13914,0.533696
13916,0.348194
13918,0.62266
13919,0.616106
13920,0.542385
13921,0.73425
13922,0.652553
13923,0.673599
13924,0.719691
13925,0.516858
13934,0.459159
13935,0.410363
13936,0.766503
13937,0.665754
13939,0.581866
13940,0.705043
13941,0.739749
13942,0.743487
13943,0.707871
13944,0.815942
13947,0.464014
13949,0.63447
13951,0.554036
13952,0.516559
13953,0.826505
13957,0.343856
13958,0.442974
13959,0.370422
13960,0.406823
13961,0.454675
13962,0.320829
13966,0.642221
13967,0.636552
13970,0.618922
13975,0.626584
13976,0.580683
13980,0.488593
13981,0.626173
13982,0.261281
13983,0.504873
13993,0.607731
13999,0.557585
14003,0.645811
14004,0.630885
14005,0.516728
14006,0.334621
14007,0.380677
14011,0.307697
14012,0.561884
14013,0.710694
14015,0.592449
14020,0.598765
14021,0.817855
14022,0.846396
14025,0.622936
14033,0.681123
14037,0.197844
14038,0.173692
14039,0.319235
14040,0.446945
14041,0.465521
14042,0.352239
14043,0.339835
14044,0.388525
14045,0.435307
14046,0.514663
14047,0.413647
14052,0.58608
14055,0.398124
14056,0.445377
14057,0.489504
14058,0.516569
14059,0.614488
14063,0.406821
14064,0.328206
14065,0.362995
14066,0.173475
14067,0.220994
14068,0.129003
14069,0.177898
14070,0.105183
14071,0.113189
14080,0.566423
14082,0.511215
14083,0.615384
14086,0.700341
14087,0.675747
14088,0.558204
14089,0.632942
14090,0.247189
14096,0.799954
14099,0.702607
14101,0.739323
14102,0.677347
14110,0.692542
14111,0.686965
14122,0.568461
14130,0.595077
14131,0.638306
14132,0.679183
14133,0.655232
14136,0.809112
14137,0.687199
14139,0.655809
14141,0.373289
14142,0.447414
14143,0.653867
14146,0.650023
14147,0.565521
14148,0.640488
14149,0.481553
14150,0.49912
14151,0.352028
14152,0.514313
14161,0.415624
14164,0.407139
14178,0.581719
14179,0.509886
14180,0.470719
14181,0.36731
14182,0.588015
14183,0.68142
14184,0.594612
14185,0.188803
14190,0.375419
14203,0.466871
14205,0.771152
14206,0.575094
14207,0.415928
14219,0.710403
14220,0.864751
14222,0.687902
14228,0.637155
14231,0.652819
14236,0.742893
14237,0.428261
14238,0.578789
14239,0.836396
14240,0.783359
14241,0.619019
14242,0.515981
14262,0.753779
14263,0.764607
14264,0.680501
14265,0.566613
14269,0.317782
14270,0.515549
14273,0.675808
14276,0.791087
14277,0.742982
14278,0.49063
14297,0.527744
14325,0.710104
14326,0.762306
14327,0.524733
14328,0.521923
14331,0.668167
14338,0.595258
14339,0.416289
14348,0.737583
14352,0.575789
14353,0.597383
14356,0.653336
14357,0.714179
14358,0.443426
14361,0.791995
14365,0.712821
14366,0.670275
14373,0.743657
14374,0.706688
14388,0.579931
14389,0.268134
14390,0.267421
14391,0.129152
14392,0.382338
14393,0.594493
14394,0.626268
14395,0.569406
14396,0.761371
14397,0.723852
14398,0.753299
14399,0.526878
14402,0.657026
14403,0.729426
14404,0.66927
14405,0.671428
14406,0.551971
14407,0.701425
14420,0.531445
14421,0.630097
14425,0.176139
14426,0.150355
14429,0.516662
14443,0.367401
14448,0.264779
14449,0.443618
14450,0.375297
14451,0.308723
14452,0.190409
14455,0.255246
14459,0.306737
14462,0.373977
14463,0.458964
14464,0.433886
14465,0.454797
14466,0.360202
14467,0.610352
14470,0.601443
14472,0.245012
14475,0.617094
14476,0.803062
14477,0.882963
14488,0.237573
14502,0.532393
14534,0.723023
14546,0.659474
14547,0.777486
14548,0.59279
14549,0.539399
14550,0.568687
14551,0.463056
14552,0.804903
14553,0.804952
14563,0.646549
14564,0.595407
14572,0.476785
14573,0.182228
14579,0.679143
14588,0.763984
14594,0.737894
14595,0.722019
14606,0.423483
14616,0.136133
14617,0.428383
14618,0.418451
14626,0.627614
14635,0.453229
14638,0.282733
14639,0.283458
14640,0.165042
14647,0.25971
14649,0.262226
14654,0.290596
14655,0.21726
14657,0.845906
14658,0.853736
14659,0.715967
14660,0.531842
14661,0.752545
14666,0.807351
14671,0.305162
14672,0.319371
14673,0.331557
14680,0.878084
14681,0.719372
14689,0.535722
14690,0.501838
14697,0.618141
14698,0.319602
14704,0.660742
14707,0.643947
14714,0.58863
14720,0.707017
14723,0.767235
14724,0.663189
14725,0.477006
14731,0.605802
14750,0.827387
14751,0.871942
14761,0.814544
14762,0.741937
14763,0.560424
14792,0.595013
14793,0.623074
14794,0.601942
14795,0.501807
14796,0.533864
14800,0.565889
14814,0.743723
14815,0.685022
14816,0.601411
14818,0.549769
14825,0.532123
14829,0.518805
14830,0.357538
14831,0.53782
14832,0.88095
14833,0.876853
14834,0.56368
14843,0.872122
14844,0.865124
14846,0.666454
14851,0.753112
14852,0.784965
14853,0.747535
14854,0.792074
14859,0.629112
14864,0.332518
14869,0.132998
14879,0.469838
14887,0.759372
14888,0.773306
14891,0.791397
14895,0.503899
14907,0.07521
14908,0.0768129
14922,0.40981
14923,0.4043
14928,0.625793
14929,0.330102
14932,0.518686
14944,0.844182
14974,0.246913
14978,0.313789
14979,0.291176
14980,0.242226
14983,0.261438
14999,0.737853
15000,0.675886
15021,0.736877
15022,0.703454
15023,0.81885
15024,0.764632
15028,0.731432
15030,0.873973
15031,0.849526
15032,0.680481
15037,0.755198
15038,0.751157
15039,0.836179
15040,0.778272
15041,0.87351
15042,0.700315
15049,0.741996
15065,0.439911
15066,0.513435
15071,0.451185
15075,0.41563
15076,0.44753
15082,0.495983
15083,0.472833
15085,0.586969
15086,0.633007
15087,0.496852
15108,0.573918
15109,0.556863
15110,0.498161
15111,0.620099
15120,0.41132
15121,0.614663
15127,0.596981
15128,0.465952
15129,0.275617
15130,0.261734
15138,0.412374
15141,0.248968
15150,0.504413
15151,0.258762
15152,0.239158
15153,0.461725
15159,0.423858
15166,0.427409
15174,0.682029
15175,0.683154
15178,0.660667
15179,0.743823
15180,0.701058
15181,0.568307
15189,0.715216
15199,0.33271
15200,0.783345
15201,0.659504
15208,0.384408
15209,0.759873
15210,0.676057
15218,0.682611
15219,0.571786
15220,0.459275
15221,0.714857
15222,0.688776
15232,0.573828
15233,0.69185
15234,0.685245
15239,0.345741
15243,0.100426
15244,0.172361
15245,0.159878
15246,0.269487
15247,0.338284
15249,0.610884
15250,0.626736
15255,0.399582
15256,0.472578
15257,0.588458
15258,0.589213
15269,0.379549
15279,0.498704
15280,0.685034
15296,0.752732
15303,0.650474
15304,0.815424
15305,0.730861
15306,0.671984
15307,0.694708
15316,0.337806
15317,0.350142
15318,0.363304
15319,0.508925
15320,0.463303
15322,0.676161
15323,0.359857
15324,0.633348
15325,0.394999
15328,0.295022
15335,0.197785
15336,0.30743
15337,0.422868
15338,0.329117
15339,0.592229
15347,0.946935
15348,0.803432
15373,0.755808
15375,0.637665
15385,0.811569
15402,0.484113
15403,0.539427
15417,0.717094
15418,0.742676
15419,0.852935
15420,0.855531
15446,0.277579
15447,0.239932
15448,0.194406
15449,0.207198
15450,0.793581
15451,0.719123
15452,0.756094
15458,0.365534
15460,0.621518
15461,0.608486
15462,0.556389
15463,0.644028
15466,0.74505
15467,0.759364
15470,0.251848
15471,0.663385
15472,0.551482
15473,0.738186
15474,0.609481
15475,0.658863
15480,0.00422272
15484,0.860246
15486,0.802729
15500,0.672316
15507,0.57472
15508,0.531504
15516,0.817061
15518,0.629621
15523,0.666262
15525,0.763877
15526,0.787441
15527,0.806806
15528,0.752654
15529,0.743042
15530,0.691636
15531,0.675847
15541,0.757086
15542,0.618119
15543,0.531613
15550,0.963989
15551,0.940602
15552,0.806915
15560,0.795441
15561,0.814814
15587,0.761909
15588,0.837608
15589,0.662734
15597,0.526004
15605,0.81575
15618,0.531816
15619,0.449376
15623,0.677332
15644,0.787022
15645,0.681682
15653,0.549566
15654,0.683354
15655,0.692426
15656,0.837789
15662,0.828321
15666,0.760762
15681,0.61567
15687,0.920855
15700,0.379741
15712,0.633319
15713,0.626695
15718,0.792656
15724,0.549164
15725,0.625626
15727,0.589923
15742,0.54177
15743,0.524419
15763,0.671457
15764,0.285699
15765,0.405038
15773,0.474767
15785,0.195625
15786,0.216733
15787,0.188709
15788,0.272778
15799,0.811255
15800,0.664195
15801,0.303278
15802,0.528226
15803,0.841324
15804,0.668524
15805,0.633359
15806,0.718293
15827,0.179187
15828,0.243145
15829,0.209575
15837,0.812573
15847,0.508052
15848,0.356358
15852,0.744747
15861,0.562004
15862,0.628967
15868,0.661414
15875,0.596949
15877,0.622218
15878,0.593364
15899,0.59471
15906,0.653286
15908,0.538796
15914,0.606775
15922,0.0701897
15923,0.0833302
15929,0.068069
15930,0.079451
15944,0.448673
15945,0.4159
15946,0.331596
15947,0.571606
15948,0.54181
15956,0.297754
15978,0.593066
15979,0.424864
15980,0.504329
15989,0.568636
15998,0.55003
16024,0.69838
16025,0.716535
16026,0.544717
16027,0.519448
16028,0.508967
16030,0.482188
16034,0.376594
16035,0.292278
16036,0.32584
16037,0.501902
16039,0.367364
16040,0.416185
16041,0.456316
16042,0.529928
16046,0.454801
16047,0.5876
16048,0.596199
16049,0.867666
16052,0.686008
16053,0.575095
16054,0.721221
16055,0.676571
